municipality,full_value_rate_official,local_total_rate,equalization_ratio,equalized_valuation_incl_util_rr,modified_local_assessed_value,rank,vintage,source
Pittsfield,16.99,29.87,57.2,640645287.0,365939847.0,177,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Plainfield,17.58,17.6,100.9,546779815.0,551666633.0,186,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Plaistow,15.35,20.72,74.8,1876510247.0,1403630456.0,144,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Plymouth,20.09,25.12,80.2,935554262.0,747740068.0,207,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Portsmouth,10.64,11.18,96.0,10657151131.0,10137278797.0,54,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Randolph,11.93,11.14,108.1,128044516.0,137554191.0,73,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Raymond,14.39,21.91,66.6,2072596187.0,1379910566.0,116,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Richmond,13.61,17.86,76.6,225732093.0,173033425.0,98,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Rindge,13.83,25.31,55.2,1402337575.0,773508251.0,105,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Rochester,13.92,14.85,97.4,5546851049.0,5323486993.0,106,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Rollinsford,13.66,16.41,83.4,592380518.0,492099849.0,100,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Roxbury,16.4,15.64,105.2,46895117.0,43482235.0,169,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Rumney,14.32,14.44,99.6,376956683.0,375092027.0,115,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Rye,6.14,8.66,71.0,4640972889.0,3291887400.0,15,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Salem,12.51,17.6,71.6,9345870174.0,6686561702.0,82,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Salisbury,13.04,16.21,81.2,316286564.0,252982952.0,89,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Sanbornton,11.57,12.81,90.5,1068992908.0,966069841.0,67,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Sandown,15.05,17.72,85.8,1359179103.0,1166194000.0,136,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Sandwich,8.7,9.05,96.4,847387369.0,816061391.0,38,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Seabrook,9.97,11.72,89.3,5177539871.0,4623544662.0,50,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Sharon,14.8,15.36,96.4,109575016.0,105655908.0,127,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Shelburne,12.11,18.95,65.3,123075206.0,79966237.0,74,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Somersworth,17.67,18.7,95.0,2041702976.0,1928557480.0,187,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
South Hampton,12.52,13.8,91.4,296171082.0,270767721.0,83,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Springfield,14.27,23.66,60.6,410501440.0,248534662.0,113,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Stark,8.55,10.86,79.7,198733325.0,157611198.0,35,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Stewartstown,13.48,15.98,84.9,240089339.0,204044347.0,97,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Stoddard,10.84,11.76,92.8,497940366.0,462126040.0,55,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Strafford,12.12,19.76,61.5,1187282863.0,730295100.0,75,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Stratford,15.06,28.51,53.8,185388711.0,99382126.0,137,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Stratham,12.35,13.12,94.5,2725468772.0,2575591486.0,76,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Sugar Hill,11.35,11.49,99.0,331562211.0,328252684.0,63,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Sullivan,17.75,18.09,98.7,120875105.0,119312090.0,188,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
