geoid,name,county,year,residential,commercial_industrial,utilities,other,gross
3301773860,Strafford,Strafford,2025,708859350,10219550,16659000,1488200,737226100
3301900260,Acworth,Sullivan,2025,207365200,6301000,4280300,1732270,219678770
3301911380,Charlestown,Sullivan,2025,275105052,54569256,17761154,1244008,348679470
3301912900,Claremont,Sullivan,2025,859312316,347962635,49333512,1760320,1258368783
3301915060,Cornish,Sullivan,2025,340892251,5675900,9189700,3365233,359123084
3301916340,Croydon,Sullivan,2025,204128700,11020872,11335100,1749448,228234120
3301930500,Goshen,Sullivan,2025,155075145,4291310,3226070,903267,163495792
3301931220,Grantham,Sullivan,2025,745367188,21219470,5701500,436695,772724853
3301940900,Langdon,Sullivan,2025,68604510,6720900,1771510,610383,77707303
3301941700,Lempster,Sullivan,2025,237246176,10709100,5898500,1218135,255071911
3301952580,Newport,Sullivan,2025,549456900,179639300,21847200,1802204,752745604
3301962340,Plainfield,Sullivan,2025,508543138,34676818,10154800,3421456,556796212
3301972740,Springfield,Sullivan,2025,390782100,33242900,13805900,1139599,438970499
3301975060,Sunapee,Sullivan,2025,2337348200,80039776,32265600,567695,2450221271
3301977940,Unity,Sullivan,2025,241869000,2962769,4674500,1743283,251249552
3301978980,Washington,Sullivan,2025,372663587,1833346,3627500,1116601,379241034
