district_id,year,function_code,function_name,amount,pct
53,2013,2300&2800,Genral Administration & Business,173160.0,6.0
53,2013,2400,School Administration,240812.0,8.3
53,2013,2500,Business Services,0.0,0.0
53,2013,2600,Plant Operations,240324.0,8.3
53,2013,2700,Transportation,149839.0,5.2
53,2013,2900,Other Support Services,0.0,0.0
53,2013,1500,Non-public Programs,0.0,0.0
53,2013,"1600-1800,2750",Community Programs,0.0,0.0
53,2013,5120,Bond Interest,0.0,0.0
53,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
53,2013,3100,Food Service,77749.27,2.7
53,2013,4000,Facility Construction,0.0,
53,2013,5100,Bonds & Notes Principal Repayment,0.0,
57,2013,1100,Regular Education,10130415.0,42.1
57,2013,1200,Special Programs,5023451.0,20.9
57,2013,1300,Vocational Programs,74718.0,0.3
57,2013,1400,Other Instructional Programs,550691.0,2.3
57,2013,2100,Student Support Services,1972361.0,8.2
57,2013,2200,Instructional Staff Support,1077998.0,4.5
57,2013,2300&2800,Genral Administration & Business,374857.0,1.6
57,2013,2400,School Administration,1165048.0,4.8
57,2013,2500,Business Services,202186.0,0.8
57,2013,2600,Plant Operations,1967056.0,8.2
57,2013,2700,Transportation,1065816.0,4.4
57,2013,2900,Other Support Services,0.0,0.0
57,2013,1500,Non-public Programs,0.0,0.0
57,2013,"1600-1800,2750",Community Programs,0.0,0.0
57,2013,5120,Bond Interest,335594.0,1.4
57,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
57,2013,3100,Food Service,106025.08000000002,0.4
57,2013,4000,Facility Construction,0.0,
57,2013,5100,Bonds & Notes Principal Repayment,1005000.0,
63,2013,1100,Regular Education,2394573.0,50.5
63,2013,1200,Special Programs,597847.0,12.6
63,2013,1300,Vocational Programs,0.0,0.0
63,2013,1400,Other Instructional Programs,4375.0,0.1
63,2013,2100,Student Support Services,423031.0,8.9
63,2013,2200,Instructional Staff Support,224473.0,4.7
63,2013,2300&2800,Genral Administration & Business,120406.0,2.5
63,2013,2400,School Administration,211815.0,4.5
63,2013,2500,Business Services,0.0,0.0
63,2013,2600,Plant Operations,372220.0,7.9
63,2013,2700,Transportation,222874.0,4.7
63,2013,2900,Other Support Services,0.0,0.0
63,2013,1500,Non-public Programs,0.0,0.0
63,2013,"1600-1800,2750",Community Programs,0.0,0.0
63,2013,5120,Bond Interest,128821.0,2.7
63,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
63,2013,3100,Food Service,40726.83,0.9
63,2013,4000,Facility Construction,0.0,
63,2013,5100,Bonds & Notes Principal Repayment,201723.0,
71,2013,1100,Regular Education,3508186.0,41.8
71,2013,1200,Special Programs,1580829.0,18.9
71,2013,1300,Vocational Programs,0.0,0.0
71,2013,1400,Other Instructional Programs,0.0,0.0
71,2013,2100,Student Support Services,878131.0,10.5
71,2013,2200,Instructional Staff Support,197730.0,2.4
71,2013,2300&2800,Genral Administration & Business,282125.0,3.4
71,2013,2400,School Administration,577536.0,6.9
71,2013,2500,Business Services,0.0,0.0
71,2013,2600,Plant Operations,640162.0,7.6
71,2013,2700,Transportation,454329.0,5.4
71,2013,2900,Other Support Services,0.0,0.0
71,2013,1500,Non-public Programs,0.0,0.0
71,2013,"1600-1800,2750",Community Programs,0.0,0.0
71,2013,5120,Bond Interest,224988.0,2.7
71,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
71,2013,3100,Food Service,42189.229999999996,0.5
71,2013,4000,Facility Construction,399925.0,
71,2013,5100,Bonds & Notes Principal Repayment,217855.0,
723,2013,1100,Regular Education,124899.0,68.1
