district_id,year,source_code,source_name,amount,pct
171,2025,5110&5140,Sales of Bonds & Notes,0.0,
173,2025,1100,Local Property Tax,19033793.0,78.3
173,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",268206.33999999985,1.1
173,2025,3111&3112&3119,State Foundation/Adequacy Aid,3907256.0,16.1
173,2025,3120-3900,Other State Aid,80908.0,0.3
173,2025,4000,Federal Aid,1020011.0,4.2
173,2025,5300-5600,Other,0.0,0.0
173,2025,5110&5140,Sales of Bonds & Notes,0.0,
172,2025,1100,Local Property Tax,50647339.0,74.8
172,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",2448109.5000000075,3.6
172,2025,3111&3112&3119,State Foundation/Adequacy Aid,11219348.0,16.6
172,2025,3120-3900,Other State Aid,1523424.0,2.2
172,2025,4000,Federal Aid,1886405.0,2.8
172,2025,5300-5600,Other,0.0,0.0
172,2025,5110&5140,Sales of Bonds & Notes,0.0,
174,2025,1100,Local Property Tax,20939214.0,56.3
174,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",1037726.5899999999,2.8
174,2025,3111&3112&3119,State Foundation/Adequacy Aid,11382900.0,30.6
174,2025,3120-3900,Other State Aid,666038.0,1.8
174,2025,4000,Federal Aid,3135883.0,8.4
174,2025,5300-5600,Other,0.0,0.0
174,2025,5110&5140,Sales of Bonds & Notes,0.0,
175,2025,1100,Local Property Tax,7924730.0,44.6
175,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",347122.14999999944,2.0
175,2025,3111&3112&3119,State Foundation/Adequacy Aid,7219418.0,40.7
175,2025,3120-3900,Other State Aid,172303.0,1.0
175,2025,4000,Federal Aid,2087728.0,11.8
175,2025,5300-5600,Other,0.0,0.0
175,2025,5110&5140,Sales of Bonds & Notes,0.0,
185,2025,1100,Local Property Tax,5580239.0,25.0
185,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",669610.8899999997,3.0
185,2025,3111&3112&3119,State Foundation/Adequacy Aid,10114233.0,45.3
185,2025,3120-3900,Other State Aid,654901.0,2.9
185,2025,4000,Federal Aid,5297893.0,23.7
185,2025,5300-5600,Other,0.0,0.0
185,2025,5110&5140,Sales of Bonds & Notes,0.0,
187,2025,1100,Local Property Tax,3055315.0,67.7
187,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",84448.15000000037,1.9
187,2025,3111&3112&3119,State Foundation/Adequacy Aid,1274070.0,28.2
187,2025,3120-3900,Other State Aid,2100.0,0.0
187,2025,4000,Federal Aid,96496.0,2.1
187,2025,5300-5600,Other,0.0,0.0
187,2025,5110&5140,Sales of Bonds & Notes,0.0,
189,2025,1100,Local Property Tax,10621303.0,77.4
189,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",69886.3200000003,0.5
189,2025,3111&3112&3119,State Foundation/Adequacy Aid,2541557.0,18.5
189,2025,3120-3900,Other State Aid,175782.0,1.3
189,2025,4000,Federal Aid,312384.0,2.3
189,2025,5300-5600,Other,0.0,0.0
189,2025,5110&5140,Sales of Bonds & Notes,0.0,
742,2025,1100,Local Property Tax,0.0,0.0
742,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",255568.03,12.9
742,2025,3111&3112&3119,State Foundation/Adequacy Aid,1489628.0,75.0
742,2025,3120-3900,Other State Aid,186184.0,9.4
742,2025,4000,Federal Aid,54718.0,2.8
742,2025,5300-5600,Other,0.0,0.0
742,2025,5110&5140,Sales of Bonds & Notes,0.0,
750,2025,1100,Local Property Tax,0.0,0.0
750,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",723692.75,19.5
750,2025,3111&3112&3119,State Foundation/Adequacy Aid,2514280.0,67.9
750,2025,3120-3900,Other State Aid,225463.0,6.1
750,2025,4000,Federal Aid,240763.0,6.5
750,2025,5300-5600,Other,0.0,0.0
750,2025,5110&5140,Sales of Bonds & Notes,0.0,
191,2025,1100,Local Property Tax,18689987.0,64.7
191,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",4643576.0,16.1
191,2025,3111&3112&3119,State Foundation/Adequacy Aid,4499636.0,15.6
191,2025,3120-3900,Other State Aid,215842.0,0.7
191,2025,4000,Federal Aid,827210.0,2.9
191,2025,5300-5600,Other,0.0,0.0
191,2025,5110&5140,Sales of Bonds & Notes,3000000.0,
195,2025,1100,Local Property Tax,10035995.0,75.2
195,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",176490.54000000097,1.3
195,2025,3111&3112&3119,State Foundation/Adequacy Aid,2654693.0,19.9
195,2025,3120-3900,Other State Aid,37122.0,0.3
195,2025,4000,Federal Aid,444357.0,3.3
195,2025,5300-5600,Other,0.0,0.0
195,2025,5110&5140,Sales of Bonds & Notes,0.0,
199,2025,1100,Local Property Tax,31367575.0,58.2
199,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",8924321.46,16.6
199,2025,3111&3112&3119,State Foundation/Adequacy Aid,11099377.0,20.6
199,2025,3120-3900,Other State Aid,658660.0,1.2
199,2025,4000,Federal Aid,1872271.0,3.5
199,2025,5300-5600,Other,0.0,0.0
199,2025,5110&5140,Sales of Bonds & Notes,0.0,
203,2025,1100,Local Property Tax,5796064.0,58.4
203,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",597594.0199999996,6.0
203,2025,3111&3112&3119,State Foundation/Adequacy Aid,2813931.0,28.4
203,2025,3120-3900,Other State Aid,350251.0,3.5
203,2025,4000,Federal Aid,365175.0,3.7
203,2025,5300-5600,Other,0.0,0.0
203,2025,5110&5140,Sales of Bonds & Notes,0.0,
204,2025,1100,Local Property Tax,931127.0,58.5
204,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",28551.97999999998,1.8
204,2025,3111&3112&3119,State Foundation/Adequacy Aid,628018.0,39.4
204,2025,3120-3900,Other State Aid,0.0,0.0
204,2025,4000,Federal Aid,5222.0,0.3
204,2025,5300-5600,Other,0.0,0.0
204,2025,5110&5140,Sales of Bonds & Notes,0.0,
208,2025,1100,Local Property Tax,41340653.0,60.3
208,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",3293370.299999997,4.8
208,2025,3111&3112&3119,State Foundation/Adequacy Aid,15378868.0,22.4
208,2025,3120-3900,Other State Aid,1569644.0,2.3
208,2025,4000,Federal Aid,7001646.0,10.2
